anio,mes,sector,establecimientos
2024,noviembre,Plastica,7
2024,diciembre,Plastica,7
2025,enero,Plastica,7
2025,febrero,Plastica,7
2025,marzo,Plastica,7
2001,enero,Textil,8
2001,febrero,Textil,8
2001,marzo,Textil,8
2001,abril,Textil,8
2001,mayo,Textil,8
2001,junio,Textil,8
2001,julio,Textil,8
2001,agosto,Textil,8
2001,septiembre,Textil,8
2001,octubre,Textil,8
2001,noviembre,Textil,8
2001,diciembre,Textil,7
2002,enero,Textil,8
2002,febrero,Textil,8
2002,marzo,Textil,8
2002,abril,Textil,8
2002,mayo,Textil,8
2002,junio,Textil,8
2002,julio,Textil,8
2002,agosto,Textil,8
2002,septiembre,Textil,8
2002,octubre,Textil,8
2002,noviembre,Textil,8
2002,diciembre,Textil,7
2003,enero,Textil,8
2003,febrero,Textil,8
2003,marzo,Textil,8
2003,abril,Textil,8
2003,mayo,Textil,8
2003,junio,Textil,7
2003,julio,Textil,7
2003,agosto,Textil,8
2003,septiembre,Textil,8
2003,octubre,Textil,8
2003,noviembre,Textil,8
2003,diciembre,Textil,7
2004,enero,Textil,8
2004,febrero,Textil,8
2004,marzo,Textil,8
2004,abril,Textil,8
2004,mayo,Textil,8
2004,junio,Textil,8
2004,julio,Textil,8
2004,agosto,Textil,8
2004,septiembre,Textil,8
2004,octubre,Textil,8
2004,noviembre,Textil,8
2004,diciembre,Textil,7
2005,enero,Textil,8
2005,febrero,Textil,8
2005,marzo,Textil,8
2005,abril,Textil,8
2005,mayo,Textil,8
2005,junio,Textil,8
2005,julio,Textil,8
2005,agosto,Textil,8
2005,septiembre,Textil,8
2005,octubre,Textil,8
2005,noviembre,Textil,8
2005,diciembre,Textil,7
2006,enero,Textil,8
2006,febrero,Textil,8
2006,marzo,Textil,8
2006,abril,Textil,8
2006,mayo,Textil,8
2006,junio,Textil,8
2006,julio,Textil,8
2006,agosto,Textil,8
2006,septiembre,Textil,8
2006,octubre,Textil,8
2006,noviembre,Textil,8
2006,diciembre,Textil,8
2007,enero,Textil,8
2007,febrero,Textil,8
2007,marzo,Textil,8
2007,abril,Textil,8
2007,mayo,Textil,8
2007,junio,Textil,8
2007,julio,Textil,8
2007,agosto,Textil,8
2007,septiembre,Textil,8
2007,octubre,Textil,8
2007,noviembre,Textil,8
2007,diciembre,Textil,7
2008,enero,Textil,8
2008,febrero,Textil,8
2008,marzo,Textil,8
2008,abril,Textil,8
2008,mayo,Textil,8
2008,junio,Textil,8
2008,julio,Textil,8
