anio,mes,sector,Produccion,empleados,establecimientos
2021,enero,Pesquera,1578254,528,3
2021,enero,Plastica,11149083,728,7
2021,enero,Textil,1407778,654,8
2021,febrero,Confeccionista,292748,273,5
2021,febrero,Electronica,1136892,8572,22
2021,febrero,Otros,9336,406,2
2021,febrero,Pesquera,1728475,519,3
2021,febrero,Plastica,11424490,729,7
2021,febrero,Textil,1692532,650,8
2021,marzo,Confeccionista,318205,306,5
2021,marzo,Electronica,1559395,8653,23
2021,marzo,Otros,11196,395,2
2021,marzo,Pesquera,1198420,534,3
2021,marzo,Plastica,11490445,730,7
2021,marzo,Textil,2495555,647,8
2021,abril,Confeccionista,345101,307,5
2021,abril,Electronica,1402020,8674,23
2021,abril,Otros,7920,394,2
2021,abril,Pesquera,2255977,500,3
2021,abril,Plastica,10271221,706,7
2021,abril,Textil,1993665,653,8
2021,mayo,Confeccionista,264911,282,5
2021,mayo,Electronica,1075187,8485,23
2021,mayo,Otros,10788,395,2
2021,mayo,Pesquera,1544604,492,3
2021,mayo,Plastica,11883922,698,7
2021,mayo,Textil,1271155,631,8
2021,junio,Confeccionista,331024,274,5
2021,junio,Electronica,1364564,8414,23
2021,junio,Otros,11310,391,1
2021,junio,Pesquera,446124,493,3
2021,junio,Plastica,11546457,681,7
2021,junio,Textil,1315753,633,8
2021,julio,Confeccionista,347256,289,5
2021,julio,Electronica,1421617,7960,24
2021,julio,Otros,10581,395,2
2021,julio,Pesquera,255910,484,3
2021,julio,Plastica,12409590,678,7
2021,julio,Textil,1254530,609,8
2021,agosto,Confeccionista,315447,283,5
2021,agosto,Electronica,1311542,8110,24
2021,agosto,Otros,10236,397,1
2021,agosto,Pesquera,261748,486,3
2021,agosto,Plastica,11640608,686,7
2021,agosto,Textil,1396293,599,8
2021,septiembre,Confeccionista,330988,267,5
2021,septiembre,Electronica,1324373,8441,24
2021,septiembre,Otros,10848,411,2
2021,septiembre,Pesquera,708315,474,3
2021,septiembre,Plastica,12870098,699,7
2021,septiembre,Textil,1517379,602,8
2021,octubre,Confeccionista,306485,285,5
2021,octubre,Electronica,1103196,8235,24
2021,octubre,Otros,9648,408,1
2021,octubre,Pesquera,1454763,472,3
2021,octubre,Plastica,13532156,691,7
2021,octubre,Textil,1565720,611,8
2021,noviembre,Confeccionista,345938,281,5
2021,noviembre,Electronica,1287282,8750,24
2021,noviembre,Otros,14208,436,1
2021,noviembre,Pesquera,1807531,477,3
2021,noviembre,Plastica,12636298,711,7
2021,noviembre,Textil,1590248,609,8
2021,diciembre,Confeccionista,112863,270,4
2021,diciembre,Electronica,1256766,8422,24
2021,diciembre,Otros,8613,315,1
2021,diciembre,Pesquera,1470966,369,2
2021,diciembre,Plastica,9802400,715,7
2021,diciembre,Textil,1226051,614,8
2022,enero,Confeccionista,288223,290,5
2022,enero,Electronica,774909,8023,22
2022,enero,Otros,4656,391,1
2022,enero,Pesquera,2085364,491,3
2022,enero,Plastica,9629670,767,7
2022,enero,Textil,1076128,614,8
2022,febrero,Confeccionista,331147,294,4
2022,febrero,Electronica,1082286,7605,22
2022,febrero,Otros,10212,395,1
2022,febrero,Pesquera,865154,488,3
2022,febrero,Plastica,11093023,759,7
2022,febrero,Textil,1524745,624,8
2022,marzo,Confeccionista,382647,296,5
2022,marzo,Electronica,1290560,7905,22
2022,marzo,Otros,11364,394,1
2022,marzo,Pesquera,1778520,485,3
2022,marzo,Plastica,12671241,748,7
2022,marzo,Textil,2152929,624,8
2022,abril,Confeccionista,399137,297,5
2022,abril,Electronica,1079659,8880,22
2022,abril,Otros,9924,409,1
2022,abril,Pesquera,1234831,491,3
2022,abril,Plastica,12157482,720,7
2022,abril,Textil,2263563,627,8
2022,mayo,Confeccionista,353736,306,5
2022,mayo,Electronica,1477155,9578,22
2022,mayo,Otros,11136,465,1
2022,mayo,Pesquera,1547812,486,3
2022,mayo,Plastica,13654906,722,7
2022,mayo,Textil,2348273,646,8
2022,junio,Confeccionista,376551,292,5
2022,junio,Electronica,2038129,10211,22
2022,junio,Otros,13105,462,1
2022,junio,Pesquera,765805,485,3
2022,junio,Plastica,13912217,727,7
2022,junio,Textil,2356549,649,8
2022,julio,Confeccionista,399922,297,5
2022,julio,Electronica,1740748,9823,22
2022,julio,Otros,13860,449,1
2022,julio,Pesquera,930505,473,3
2022,julio,Plastica,12901168,720,7
2022,julio,Textil,2549434,656,8
2022,agosto,Confeccionista,471066,294,5
2022,agosto,Electronica,1070900,8632,22
2022,agosto,Otros,9284,431,1
2022,agosto,Pesquera,329514,469,3
2022,agosto,Plastica,12926202,711,7
2022,agosto,Textil,2308382,657,8
2022,septiembre,Confeccionista,401088,277,5
